City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
218,Souillac,MU,2022-08-02 16:23:42,-20.5167,57.5167,70.18,68,20,6.91
219,Bandiagara,ML,2022-08-02 16:23:42,14.3501,-3.6104,90.23,41,84,6.78
220,Avarua,CK,2022-08-02 16:23:42,-21.2078,-159.775,73.45,60,100,5.75
221,Kaputa,ZM,2022-08-02 16:23:43,-8.4689,29.6619,77.58,36,17,2.62
222,Namwala,ZM,2022-08-02 16:23:43,-15.7504,26.4384,74.08,31,13,7.18
223,Dum Duma,IN,2022-08-02 16:23:44,27.5667,95.5667,78.37,93,100,0.38
224,Puerto Escondido,MX,2022-08-02 16:23:44,15.85,-97.0667,88.63,74,40,10.36
225,Esperance,AU,2022-08-02 16:23:44,-33.8667,121.9,51.64,69,100,31.56
226,Mahon,ES,2022-08-02 16:23:38,39.8885,4.2658,91.96,27,0,9.22
227,Grand Bank,CA,2022-08-02 16:23:45,47.0999,-55.765,69.8,75,50,10.87
228,Evensk,RU,2022-08-02 16:23:45,61.95,159.2333,51.87,97,100,5.17
229,Chuy,UY,2022-08-02 16:23:45,-33.6971,-53.4616,62.4,80,99,7.52
230,Bambous Virieux,MU,2022-08-02 16:23:46,-20.3428,57.7575,70.05,68,20,6.91
231,Lompoc,US,2022-08-02 16:23:46,34.6391,-120.4579,75.02,88,40,1.99
232,Mayor Pablo Lagerenza,PY,2022-08-02 16:23:46,-19.9309,-60.7718,94.03,25,94,15.08
233,Alyangula,AU,2022-08-02 16:23:49,-13.8483,136.4192,72.64,94,39,7.56
234,Isahaya,JP,2022-08-02 16:23:49,32.8411,130.0431,81.36,83,46,4.63
235,Hermon,US,2022-08-02 16:23:49,44.8101,-68.9134,85.32,66,20,4.61
236,Leshukonskoye,RU,2022-08-02 16:23:49,64.8989,45.7622,60.71,74,100,3.74
237,Lorengau,PG,2022-08-02 16:23:50,-2.0226,147.2712,81.91,77,100,9.98
238,Joita,RO,2022-08-02 16:23:50,44.4942,25.8539,87.73,35,20,8.05
239,Ust-Omchug,RU,2022-08-02 16:23:50,61.15,149.6333,54.81,88,92,5.68
240,Sobolevo,RU,2022-08-02 16:23:51,54.4299,31.8996,69.66,76,100,1.39
241,Morden,CA,2022-08-02 16:21:59,49.1919,-98.1014,73.09,88,75,5.75
242,Takoradi,GH,2022-08-02 16:23:51,4.8845,-1.7554,77.16,66,56,11.39
243,Povenets,RU,2022-08-02 16:23:51,62.8487,34.8262,62.08,96,100,9.42
244,Klaksvik,FO,2022-08-02 16:23:52,62.2266,-6.589,54.52,89,100,12.84
245,Kavieng,PG,2022-08-02 16:23:52,-2.5744,150.7967,82.2,74,87,18.19
246,Mandera,KE,2022-08-02 16:23:52,3.9366,41.867,86.31,36,92,20.67
247,Bilibino,RU,2022-08-02 16:23:52,68.0546,166.4372,53.69,66,99,6.02
248,Srednekolymsk,RU,2022-08-02 16:23:53,67.45,153.6833,61.29,94,100,6.89
249,Thompson,CA,2022-08-02 16:23:53,55.7435,-97.8558,57.36,100,100,0.0
250,Timizart,DZ,2022-08-02 16:23:53,36.8,4.2667,86.56,36,20,8.68
251,Le Mars,US,2022-08-02 16:20:09,42.7942,-96.1656,89.11,62,0,16.11
252,Yangambi,CD,2022-08-02 16:23:54,0.8102,24.4336,79.68,65,61,2.84
253,Nemuro,JP,2022-08-02 16:23:54,43.3236,145.575,59.4,94,98,11.25
254,Ippy,CF,2022-08-02 16:23:54,6.2679,21.2247,74.7,93,22,3.2
255,Nioro,GM,2022-08-02 16:23:55,13.35,-15.75,86.36,64,63,9.01
256,Gifford,US,2022-08-02 16:23:55,27.6753,-80.4092,93.99,62,40,4.61
257,Peace River,CA,2022-08-02 16:23:55,56.2501,-117.286,57.51,100,100,14.97
258,Tiznit,MA,2022-08-02 16:23:55,29.5833,-9.5,100.49,14,46,10.94
259,Saldanha,ZA,2022-08-02 16:19:46,-33.0117,17.9442,56.53,76,17,10.02
260,Sao Joao Da Barra,BR,2022-08-02 16:23:56,-21.6403,-41.0511,86.09,73,3,11.36
261,Daura,NG,2022-08-02 16:23:56,11.5538,11.4085,70.5,92,100,11.43
262,Narasannapeta,IN,2022-08-02 16:23:56,18.4167,84.05,82.26,84,100,6.85
263,Luwuk,ID,2022-08-02 16:23:57,-0.9516,122.7875,75.56,90,49,5.19
264,La Ronge,CA,2022-08-02 16:23:57,55.1001,-105.2842,59.22,94,100,14.97
265,Marrakesh,MA,2022-08-02 16:23:57,31.6315,-8.0083,109.47,13,75,17.27
266,Kahului,US,2022-08-02 16:23:57,20.8947,-156.47,75.85,75,0,12.66
267,Navoi,UZ,2022-08-02 16:23:58,40.0844,65.3792,80.08,29,2,6.91
268,Zabol,AF,2022-08-02 16:23:58,32.25,67.25,81.93,18,0,11.9
269,Kuminskiy,RU,2022-08-02 16:22:08,58.6667,66.5667,59.65,72,5,4.63
270,Scottsdale,US,2022-08-02 16:20:49,33.5092,-111.899,96.76,42,0,8.05
271,Presidencia Roque Saenz Pena,AR,2022-08-02 16:23:59,-26.7852,-60.4388,77.31,46,89,6.91
272,Nampula,MZ,2022-08-02 16:23:59,-15.1165,39.2666,71.55,73,40,10.36
273,Ribeira Brava,PT,2022-08-02 16:23:59,32.65,-17.0667,84.7,68,1,2.33
274,Hambantota,LK,2022-08-02 16:24:00,6.1241,81.1185,78.28,80,100,23.53
275,Codrington,AU,2022-08-02 16:24:00,-38.2667,141.9667,53.19,75,100,31.29
276,Road Town,VG,2022-08-02 16:24:00,18.4167,-64.6167,91.49,79,75,9.22
277,Cerro De Pasco,PE,2022-08-02 16:24:01,-10.6833,-76.2667,49.06,40,5,9.69
278,Mihona,IN,2022-08-02 16:24:01,26.2844,78.9817,91.67,55,100,4.34
279,Kilifi,KE,2022-08-02 16:24:03,-3.6305,39.8499,74.17,78,3,12.28
280,Santa Cruz,BO,2022-08-02 16:22:06,-17.8,-63.1667,86.05,58,75,23.02
281,Degollado,MX,2022-08-02 16:24:04,20.467,-102.1498,68.68,68,98,4.29
282,Mungwi,ZM,2022-08-02 16:24:04,-10.1732,31.3694,69.06,35,4,6.55
283,Puerto Baquerizo Moreno,EC,2022-08-02 16:24:04,-0.9,-89.6,72.59,73,75,12.66
284,Tucuman,AR,2022-08-02 16:24:04,-26.8241,-65.2226,71.6,37,0,8.05
285,Antofagasta,CL,2022-08-02 16:20:18,-23.65,-70.4,60.08,68,49,5.75
286,Malmesbury,ZA,2022-08-02 16:19:11,-33.4608,18.7271,58.78,64,22,4.34
287,Bama,NG,2022-08-02 16:24:05,11.5221,13.6856,75.76,78,97,10.13
288,Mandalgovi,MN,2022-08-02 16:24:05,45.7625,106.2708,74.21,42,2,5.88
289,Nogliki,RU,2022-08-02 16:24:06,51.8333,143.1667,55.47,94,100,2.77
290,Ryotsu,JP,2022-08-02 16:24:06,38.0833,138.4333,80.33,86,100,6.49
291,Qinzhou,CN,2022-08-02 16:21:53,21.95,108.6167,83.82,74,51,4.61
292,Mishelevka,RU,2022-08-02 16:24:06,52.8575,103.1719,58.48,94,56,1.16
