City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
453,Champerico,GT,88.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
455,Stephenville Crossing,CA,70.21,broken clouds,48.5,-58.4318,Henrieta's Hospitality Home
457,Calamar,CO,85.8,overcast clouds,10.2511,-74.9146,Hostal Katyalex
459,Baturaja,ID,72.12,broken clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
464,Taicheng,CN,70.84,scattered clouds,38.731,113.228,五台山康旅酒店
465,Lindi,TZ,70.29,scattered clouds,-10.0,39.7167,Lindi paradise house
466,Pochutla,MX,85.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
469,Mandalgovi,MN,74.1,scattered clouds,45.7625,106.2708,В.Ганбат
472,Miri,MY,73.54,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
473,High Rock,BS,87.82,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
475,Havelock,US,89.94,scattered clouds,34.8791,-76.9013,Sherwood Motel
476,Korla,CN,87.08,broken clouds,41.7597,86.1469,Gulisitan Hotel
477,Rawlins,US,85.89,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
478,Chake Chake,TZ,71.53,clear sky,-5.2459,39.7666,Hotel Archipelago
484,Mexico,PH,78.51,moderate rain,15.0646,120.7198,stone place
486,Pital,CO,78.13,broken clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
490,Hosbach,DE,77.11,overcast clouds,50.0,9.2,Landhotel Klingerhof GmbH Hösbach
493,Hakkari,TR,78.58,few clouds,37.5833,44.1667,Koprucek Koyu Muhtarligi
495,Samsun,TR,77.99,broken clouds,41.25,36.3333,Anemon Samsun Otel
497,Pangabuan,PH,73.53,moderate rain,8.0569,123.6958,Moonlight Inn
498,Jalna,IN,77.85,overcast clouds,19.8333,75.8833,HOTEL SHIVNERI PALACE
499,Padang,ID,77.83,overcast clouds,-0.9492,100.3543,Mercure Padang
502,Cockburn Town,TC,82.35,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
504,Erzin,TR,78.84,clear sky,36.9559,36.2,Artemis Otel
506,Cayenne,GF,89.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
507,Carolina,PR,87.76,scattered clouds,18.3808,-65.9574,Motel Fantasy Star
509,Tilbury,GB,74.64,clear sky,51.4625,0.3586,Premier Inn Gravesend Central hotel
512,Bambanglipuro,ID,72.64,few clouds,-7.95,110.2833,Puri Brata
515,Gat,IL,85.41,clear sky,31.61,34.7642,OlusHome
520,Dharchula,IN,72.81,broken clouds,29.85,80.5333,Mahara Hotel
521,Ntungamo,UG,70.68,broken clouds,-0.8833,29.65,The Crested Crane Bwindi Hotel
523,Ndjole,GA,79.32,overcast clouds,-0.1783,10.7649,Motel Kédyann
525,Esmeraldas,BR,89.71,clear sky,-19.7625,-44.3139,Forasteiro Pousada
527,Murom,RU,71.22,broken clouds,55.5656,42.0417,Volna Hotel
529,Margate,GB,70.11,few clouds,51.3813,1.3862,Premier Inn Margate hotel
530,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
